"dt";"tme";"host";"uri";"uuid";"response_status"
2024-02-04;2024-02-04 09:16:32;auto.drom.ru;/region54/all/?maxyear=2008&minyear=2004&multiselect[]=99_3950_0_0&subscription=65b16cac8a&subs_view_time=1693803422&reset_params=1;"3CF079C92BC3D638AFC30D4EFCCF4F670";301
2024-02-04;2024-02-04 10:03:41;auto.drom.ru;/region54/all/?maxyear=2008&minyear=2004&multiselect[]=99_3950_0_0&subscription=65b16cac8a&subs_view_time=1693818992;"3CF079C92BC3D638AFC30D4EFCCF4F670";301
2024-02-04;2024-02-04 10:03:40;auto.drom.ru;/region54/all/?maxyear=2008&minyear=2004&multiselect[]=99_3950_0_0&subscription=65b16cac8a&subs_view_time=1693818992&reset_params=1;"3CF079C92BC3D638AFC30D4EFCCF4F670";301
2024-02-04;2024-02-03 15:12:29;auto.drom.ru;/all/?multiselect[]=2_291_2_all&multiselect[]=2_291_3_all&minprice=400000&maxprice=890000&minyear=2001&privod=3&pts=2;"6B344780818D8CA01D374EA23B006CB19";200
2024-02-04;2024-02-03 17:03:40;auto.drom.ru;/all/?multiselect[]=2_291_2_all&multiselect[]=2_291_3_all&minprice=400000&maxprice=890000&minyear=2001&privod=3&pts=2;"6B344780818D8CA01D374EA23B006CB19";200
2024-02-04;2024-02-03 17:03:43;auto.drom.ru;/all/?multiselect[]=2_291_2_all&multiselect[]=2_291_3_all&minprice=400000&maxprice=890000&minyear=2001&privod=3&pts=2;"6B344780818D8CA01D374EA23B006CB19";200
2024-02-04;2024-02-04 01:42:30;auto.drom.ru;/all/?multiselect[]=2_291_2_all&multiselect[]=2_291_3_all&minprice=400000&maxprice=890000&minyear=2001&privod=3&pts=2;"6B344780818D8CA01D374EA23B006CB19";200
2024-02-04;2024-02-04 08:33:15;auto.drom.ru;/region25/all/?multiselect[]=9_568_3_all&multiselect[]=9_568_4_0;D36CC6A91F56770D84D8DEBCCE1EF4688;200
2024-02-04;2024-02-04 13:56:26;auto.drom.ru;/region25/all/?multiselect[]=9_568_3_all&multiselect[]=9_568_4_0;D36CC6A91F56770D84D8DEBCCE1EF4688;200
2024-02-04;2024-02-04 13:50:14;auto.drom.ru;/all/?maxyear=2007&multiselect[]=2_1084_0_0&mv=1.3&transmission[]=1;"0F6A57776AFC0C29169FB575C7D6AD105";301
2024-02-04;2024-02-04 06:02:28;auto.drom.ru;/region102/used/all/?maxprice=130000&minprice=90000&multiselect[]=99_0_0_0&subscription=7f63c47329&subs_view_time=1693652747&reset_params=1;"97539996EA80F00025CECB05449D59E83";301
2024-02-04;2024-02-04 06:02:28;auto.drom.ru;/region102/used/all/?maxprice=130000&minprice=90000&multiselect[]=99_0_0_0&subscription=7f63c47329&subs_view_time=1693652747;"97539996EA80F00025CECB05449D59E83";301
2024-02-04;2024-02-04 08:18:42;auto.drom.ru;/region25/all/?damaged=2&fueltype=1&maxprice=600000&minyear=1999&multiselect[]=8_186_0_0&mv=1.3&subscription=48d158d9b3&subs_view_time=1693378916&reset_params=1;"8BC32F6DB314DD4E546906272E7825460";301
2024-02-04;2024-02-04 08:18:43;auto.drom.ru;/region25/all/?damaged=2&fueltype=1&maxprice=600000&minyear=1999&multiselect[]=8_186_0_0&mv=1.3&subscription=48d158d9b3&subs_view_time=1693378916;"8BC32F6DB314DD4E546906272E7825460";301
2024-02-04;2024-02-04 08:18:55;auto.drom.ru;/region25/all/?damaged=2&fueltype=1&maxprice=450000&multiselect[]=8_186_0_0&mv=1.3&subscription=aedb5627bc&subs_view_time=1693738817&reset_params=1;"8BC32F6DB314DD4E546906272E7825460";301
2024-02-04;2024-02-04 08:18:55;auto.drom.ru;/region25/all/?damaged=2&fueltype=1&maxprice=450000&multiselect[]=8_186_0_0&mv=1.3&subscription=aedb5627bc&subs_view_time=1693738817;"8BC32F6DB314DD4E546906272E7825460";301
2024-02-04;2024-02-04 11:11:28;auto.drom.ru;/region25/all/?maxprice=450000&multiselect[]=8_186_0_0&subscription=1937523749&subs_view_time=1693738858&reset_params=1;"8BC32F6DB314DD4E546906272E7825460";301
2024-02-04;2024-02-04 11:11:28;auto.drom.ru;/region25/all/?maxprice=450000&multiselect[]=8_186_0_0&subscription=1937523749&subs_view_time=1693738858;"8BC32F6DB314DD4E546906272E7825460";301
2024-02-04;2024-02-04 10:04:19;auto.drom.ru;/all/?multiselect[]=49_3046_0_0&multiselect[]=49_3078_0_0&subscription=120b549d2e&subs_view_time=1693392844;BC5C74F5ADF61F232D417AF247B2B37F2;200
2024-02-04;2024-02-03 19:03:16;auto.drom.ru;/?cid[]=56&multiselect[]=9_2089_0_0&s=all&subscription=971b5145bd&subs_view_time=1638680563&reset_params=1;EA6B29F35D4A5BD29CD9EEC83BAA29C01;301
2024-02-04;2024-02-03 19:03:16;auto.drom.ru;/?cid[]=56&multiselect[]=9_2089_0_0&s=all&subscription=971b5145bd&subs_view_time=1638680563;EA6B29F35D4A5BD29CD9EEC83BAA29C01;301
2024-02-04;2024-02-03 17:00:16;auto.drom.ru;/all/?maxyear=2012&minyear=2007&multiselect[]=4_3626_0_0&subscription=0780a1f95e&subs_view_time=1693536029&reset_params=1;"1905BD479639B2AF621CA7503D1810AF3";301
2024-02-04;2024-02-03 17:00:16;auto.drom.ru;/all/?maxyear=2012&minyear=2007&multiselect[]=4_3626_0_0&subscription=0780a1f95e&subs_view_time=1693536029;"1905BD479639B2AF621CA7503D1810AF3";301
2024-02-04;2024-02-04 13:35:06;auto.drom.ru;/region19/all/?multiselect[]=71_3746_0_0&multiselect[]=39_3663_0_0;"8BC0B5968C0D28EA2AB694A9CDE069397";200
2024-02-04;2024-02-04 13:37:32;auto.drom.ru;/region19/all/?multiselect[]=71_3746_0_0&multiselect[]=39_3663_0_0;"8BC0B5968C0D28EA2AB694A9CDE069397";200
2024-02-04;2024-02-04 13:38:40;auto.drom.ru;/region19/all/page2/?multiselect[]=71_3746_0_0&multiselect[]=39_3663_0_0&neighborhood=1&unsold=1;"8BC0B5968C0D28EA2AB694A9CDE069397";200
2024-02-04;2024-02-04 13:37:06;auto.drom.ru;/region19/all/?multiselect[]=71_3746_0_0&multiselect[]=39_3663_0_0;"8BC0B5968C0D28EA2AB694A9CDE069397";200
2024-02-04;2024-02-04 13:39:14;auto.drom.ru;/region19/all/page2/?multiselect[]=71_3746_0_0&multiselect[]=39_3663_0_0&neighborhood=1&unsold=1;"8BC0B5968C0D28EA2AB694A9CDE069397";200
2024-02-04;2024-02-04 13:39:59;auto.drom.ru;/region19/all/?multiselect[]=71_3746_0_0&multiselect[]=39_3663_0_0;"8BC0B5968C0D28EA2AB694A9CDE069397";200
2024-02-04;2024-02-04 13:41:28;auto.drom.ru;/region19/all/?multiselect[]=71_3746_0_0&multiselect[]=39_3663_0_0;"8BC0B5968C0D28EA2AB694A9CDE069397";200
2024-02-04;2024-02-04 13:40:48;auto.drom.ru;/region19/all/?multiselect[]=71_3746_0_0&multiselect[]=39_3663_0_0;"8BC0B5968C0D28EA2AB694A9CDE069397";200
2024-02-04;2024-02-03 22:52:58;auto.drom.ru;/region38/all/?maxyear=2012&minyear=2009&multiselect[]=9_313_0_0&subscription=5244eaf956&subs_view_time=1693661778&reset_params=1;"3A05DA99F8E4D85F168FE383753494A90";301
2024-02-04;2024-02-03 22:52:58;auto.drom.ru;/region38/all/?maxyear=2012&minyear=2009&multiselect[]=9_313_0_0&subscription=5244eaf956&subs_view_time=1693661778;"3A05DA99F8E4D85F168FE383753494A90";301
2024-02-04;2024-02-04 12:58:46;auto.drom.ru;/all/?multiselect[]=2_172_4_0&multiselect[]=2_172_5_3&ph=1;"6227D12921C2F578A45B4469E35183088";200
2024-02-04;2024-02-04 12:58:47;auto.drom.ru;/all/?multiselect[]=2_172_4_0&multiselect[]=2_172_5_3&ph=1;"6227D12921C2F578A45B4469E35183088";200
2024-02-04;2024-02-04 03:24:46;auto.drom.ru;/region42/all/?multiselect[]=9_16_0_0&multiselect[]=9_0_0_0;"36109823EB23BC8CFBECBB15FEB4A0E48";200
2024-02-04;2024-02-04 10:53:12;auto.drom.ru;/all/?maxprice=1250000&multiselect[]=20_2567_2_all&subscription=e6d006d5b5&subs_view_time=1693570602&reset_params=1;F314B23504779758C62067593FCAC6BA9;301
2024-02-04;2024-02-04 10:53:12;auto.drom.ru;/all/?maxprice=1250000&multiselect[]=20_2567_2_all&subscription=e6d006d5b5&subs_view_time=1693570602;F314B23504779758C62067593FCAC6BA9;301
2024-02-04;2024-02-04 07:07:15;auto.drom.ru;/region25/all/?multiselect[]=9_4_11_all&ph=1&unsold=1&subscription=8b09d0a7eb&subs_view_time=1693467928&reset_params=1;"80A65D837BF9C57F55BAE733FF171E3F2";301
2024-02-04;2024-02-04 07:07:15;auto.drom.ru;/region25/all/?multiselect[]=9_4_11_all&ph=1&unsold=1&subscription=8b09d0a7eb&subs_view_time=1693467928;"80A65D837BF9C57F55BAE733FF171E3F2";301
2024-02-04;2024-02-04 07:07:25;auto.drom.ru;/region25/all/?multiselect[]=9_4_10_all&subscription=4e2ad5c1b6&subs_view_time=1693344991&reset_params=1;"80A65D837BF9C57F55BAE733FF171E3F2";301
2024-02-04;2024-02-04 07:07:25;auto.drom.ru;/region25/all/?multiselect[]=9_4_10_all&subscription=4e2ad5c1b6&subs_view_time=1693344991;"80A65D837BF9C57F55BAE733FF171E3F2";301
2024-02-04;2024-02-04 09:14:05;auto.drom.ru;/all/?multiselect[]=31_2816_2_1&multiselect[]=31_2816_2_2;"265F982AE65FF43897C6DB3A2ED1AB155";200
2024-02-04;2024-02-04 09:13:52;auto.drom.ru;/all/?multiselect[]=31_2816_2_1&multiselect[]=31_2816_2_2;"265F982AE65FF43897C6DB3A2ED1AB155";200
2024-02-04;2024-02-04 09:17:21;auto.drom.ru;/all/?multiselect[]=31_2816_2_1&multiselect[]=31_2816_2_2;"265F982AE65FF43897C6DB3A2ED1AB155";200
